wda,wda_number,url
Alamo,20,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Borderplex,10,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Brazos Valley,16,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Central Texas,26,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Coastal Bend,22,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Concho Valley,12,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Deep East Texas,17,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
DFW,4,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
East Texas,8,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Golden Crescent,19,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Greater Austin,15,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Gulf Coast,28,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Middle Rio Grande,27,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
North Texas,3,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Northeast Texas,7,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Panhandle,1,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Permian Basin,11,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Rio Grande Valley,23,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
South Plains,2,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
South Texas,21,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Southeast Texas,18,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
Texas,0,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
Texoma,25,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
The Heart of Texas,13,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Borderplex.pdf
West Central Texas,9,https://aimhiretx.s3.us-east-2.amazonaws.com/aht-2036-Alamo.pdf
