geoid,county_name,category,poverty,alice,above_alice
48001,Anderson,single_cohab,,,
48001,Anderson,fam_kids,,,
48001,Anderson,over_65,,,
48003,Andrews,single_cohab,,,
48003,Andrews,fam_kids,,,
48003,Andrews,over_65,,,
48005,Angelina,single_cohab,,,
48005,Angelina,fam_kids,,,
48005,Angelina,over_65,,,
48007,Aransas,single_cohab,,,
48007,Aransas,fam_kids,,,
48007,Aransas,over_65,,,
48009,Archer,single_cohab,,,
48009,Archer,fam_kids,,,
48009,Archer,over_65,,,
48011,Armstrong,single_cohab,,,
48011,Armstrong,fam_kids,,,
48011,Armstrong,over_65,,,
48013,Atascosa,single_cohab,,,
48013,Atascosa,fam_kids,,,
48013,Atascosa,over_65,,,
48015,Austin,single_cohab,,,
48015,Austin,fam_kids,,,
48015,Austin,over_65,,,
48017,Bailey,single_cohab,,,
48017,Bailey,fam_kids,,,
48017,Bailey,over_65,,,
48019,Bandera,single_cohab,,,
48019,Bandera,fam_kids,,,
48019,Bandera,over_65,,,
48021,Bastrop,single_cohab,,,
48021,Bastrop,fam_kids,,,
48021,Bastrop,over_65,,,
48023,Baylor,single_cohab,,,
48023,Baylor,fam_kids,,,
48023,Baylor,over_65,,,
48025,Bee,single_cohab,,,
48025,Bee,fam_kids,,,
48025,Bee,over_65,,,
48027,Bell,single_cohab,,,
48027,Bell,fam_kids,,,
48027,Bell,over_65,,,
48029,Bexar,single_cohab,,,
48029,Bexar,fam_kids,,,
48029,Bexar,over_65,,,
48031,Blanco,single_cohab,,,
48031,Blanco,fam_kids,,,
48031,Blanco,over_65,,,
48033,Borden,single_cohab,,,
48033,Borden,fam_kids,,,
48033,Borden,over_65,,,
48035,Bosque,single_cohab,,,
48035,Bosque,fam_kids,,,
48035,Bosque,over_65,,,
48037,Bowie,single_cohab,,,
48037,Bowie,fam_kids,,,
48037,Bowie,over_65,,,
48039,Brazoria,single_cohab,,,
48039,Brazoria,fam_kids,,,
48039,Brazoria,over_65,,,
48041,Brazos,single_cohab,,,
48041,Brazos,fam_kids,,,
48041,Brazos,over_65,,,
48043,Brewster,single_cohab,,,
48043,Brewster,fam_kids,,,
48043,Brewster,over_65,,,
48045,Briscoe,single_cohab,,,
48045,Briscoe,fam_kids,,,
48045,Briscoe,over_65,,,
48047,Brooks,single_cohab,,,
48047,Brooks,fam_kids,,,
48047,Brooks,over_65,,,
48049,Brown,single_cohab,,,
48049,Brown,fam_kids,,,
48049,Brown,over_65,,,
48051,Burleson,single_cohab,,,
48051,Burleson,fam_kids,,,
48051,Burleson,over_65,,,
48053,Burnet,single_cohab,,,
48053,Burnet,fam_kids,,,
48053,Burnet,over_65,,,
48055,Caldwell,single_cohab,,,
48055,Caldwell,fam_kids,,,
48055,Caldwell,over_65,,,
48057,Calhoun,single_cohab,,,
48057,Calhoun,fam_kids,,,
48057,Calhoun,over_65,,,
48059,Callahan,single_cohab,,,
48059,Callahan,fam_kids,,,
48059,Callahan,over_65,,,
48061,Cameron,single_cohab,,,
48061,Cameron,fam_kids,,,
48061,Cameron,over_65,,,
48063,Camp,single_cohab,,,
48063,Camp,fam_kids,,,
48063,Camp,over_65,,,
48065,Carson,single_cohab,,,
48065,Carson,fam_kids,,,
48065,Carson,over_65,,,
48067,Cass,single_cohab,,,
48067,Cass,fam_kids,,,
48067,Cass,over_65,,,
48069,Castro,single_cohab,,,
48069,Castro,fam_kids,,,
48069,Castro,over_65,,,
48071,Chambers,single_cohab,,,
48071,Chambers,fam_kids,,,
48071,Chambers,over_65,,,
48073,Cherokee,single_cohab,,,
48073,Cherokee,fam_kids,,,
48073,Cherokee,over_65,,,
48075,Childress,single_cohab,,,
48075,Childress,fam_kids,,,
48075,Childress,over_65,,,
48077,Clay,single_cohab,,,
48077,Clay,fam_kids,,,
48077,Clay,over_65,,,
48079,Cochran,single_cohab,,,
48079,Cochran,fam_kids,,,
48079,Cochran,over_65,,,
48081,Coke,single_cohab,,,
48081,Coke,fam_kids,,,
48081,Coke,over_65,,,
48083,Coleman,single_cohab,,,
48083,Coleman,fam_kids,,,
48083,Coleman,over_65,,,
48085,Collin,single_cohab,,,
48085,Collin,fam_kids,,,
48085,Collin,over_65,,,
48087,Collingsworth,single_cohab,,,
48087,Collingsworth,fam_kids,,,
48087,Collingsworth,over_65,,,
48089,Colorado,single_cohab,,,
48089,Colorado,fam_kids,,,
48089,Colorado,over_65,,,
48091,Comal,single_cohab,,,
48091,Comal,fam_kids,,,
48091,Comal,over_65,,,
48093,Comanche,single_cohab,,,
48093,Comanche,fam_kids,,,
48093,Comanche,over_65,,,
48095,Concho,single_cohab,,,
48095,Concho,fam_kids,,,
48095,Concho,over_65,,,
48097,Cooke,single_cohab,,,
48097,Cooke,fam_kids,,,
48097,Cooke,over_65,,,
48099,Coryell,single_cohab,,,
48099,Coryell,fam_kids,,,
48099,Coryell,over_65,,,
48101,Cottle,single_cohab,,,
48101,Cottle,fam_kids,,,
48101,Cottle,over_65,,,
48103,Crane,single_cohab,,,
48103,Crane,fam_kids,,,
48103,Crane,over_65,,,
48105,Crockett,single_cohab,,,
48105,Crockett,fam_kids,,,
48105,Crockett,over_65,,,
48107,Crosby,single_cohab,,,
48107,Crosby,fam_kids,,,
48107,Crosby,over_65,,,
48109,Culberson,single_cohab,,,
48109,Culberson,fam_kids,,,
48109,Culberson,over_65,,,
48111,Dallam,single_cohab,,,
48111,Dallam,fam_kids,,,
48111,Dallam,over_65,,,
48113,Dallas,single_cohab,,,
48113,Dallas,fam_kids,,,
48113,Dallas,over_65,,,
48115,Dawson,single_cohab,,,
48115,Dawson,fam_kids,,,
48115,Dawson,over_65,,,
48117,Deaf Smith,single_cohab,,,
48117,Deaf Smith,fam_kids,,,
