geoid,county_name,category,poverty,alice,above_alice
48001,Anderson,single_cohab,844,3728,2682
48001,Anderson,fam_kids,1009,1746,1704
48001,Anderson,over_65,597,2297,1852
48003,Andrews,single_cohab,67,791,1399
48003,Andrews,fam_kids,290,364,1525
48003,Andrews,over_65,191,329,552
48005,Angelina,single_cohab,1116,4499,6353
48005,Angelina,fam_kids,2706,2044,5597
48005,Angelina,over_65,825,3902,2856
48007,Aransas,single_cohab,828,1327,1865
48007,Aransas,fam_kids,441,395,841
48007,Aransas,over_65,351,1418,1966
48009,Archer,single_cohab,90,367,847
48009,Archer,fam_kids,104,127,734
48009,Archer,over_65,123,358,582
48011,Armstrong,single_cohab,16,27,199
48011,Armstrong,fam_kids,20,37,185
48011,Armstrong,over_65,14,93,117
48013,Atascosa,single_cohab,535,2402,3605
48013,Atascosa,fam_kids,1139,1261,2401
48013,Atascosa,over_65,576,1493,1975
48015,Austin,single_cohab,363,1229,2619
48015,Austin,fam_kids,423,518,2492
48015,Austin,over_65,368,1150,1879
48017,Bailey,single_cohab,27,266,487
48017,Bailey,fam_kids,139,366,204
48017,Bailey,over_65,63,301,258
48019,Bandera,single_cohab,470,1037,1830
48019,Bandera,fam_kids,370,476,729
48019,Bandera,over_65,257,1067,2006
48021,Bastrop,single_cohab,959,5479,5313
48021,Bastrop,fam_kids,885,2732,3639
48021,Bastrop,over_65,857,2627,2854
48023,Baylor,single_cohab,86,205,243
48023,Baylor,fam_kids,20,62,300
48023,Baylor,over_65,64,288,206
48025,Bee,single_cohab,650,1235,1471
48025,Bee,fam_kids,1020,516,1333
48025,Bee,over_65,283,983,1046
48027,Bell,single_cohab,5362,18797,35198
48027,Bell,fam_kids,7450,7183,25954
48027,Bell,over_65,2674,6140,14430
48029,Bexar,single_cohab,48467,126927,145939
48029,Bexar,fam_kids,41130,49645,94170
48029,Bexar,over_65,19082,48719,70114
48031,Blanco,single_cohab,135,378,1426
48031,Blanco,fam_kids,154,166,562
48031,Blanco,over_65,107,428,941
48033,Borden,single_cohab,,,
48033,Borden,fam_kids,,,
48033,Borden,over_65,,,
48035,Bosque,single_cohab,264,752,1638
48035,Bosque,fam_kids,471,275,1094
48035,Bosque,over_65,161,876,1557
48037,Bowie,single_cohab,3813,3409,9153
48037,Bowie,fam_kids,2410,1863,5093
48037,Bowie,over_65,1788,2837,4862
48039,Brazoria,single_cohab,3662,17043,31933
48039,Brazoria,fam_kids,4791,7355,31621
48039,Brazoria,over_65,2322,8582,13493
48041,Brazos,single_cohab,12703,11625,22463
48041,Brazos,fam_kids,4167,4854,12005
48041,Brazos,over_65,1787,4597,6829
