Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
439061,"Office Clerks, General",No,4.082228041672876,0.12254903149432961,5,High quality - High demand,1.684075232648378,16.37,14.34,FALSE,36.4,0.0912021396842104,-4.832128284057555,7.015046766978447,FALSE,22.22912106268054,Declining
251000,Postsecondary Teachers,No,3.7229175341547673,0.7234509844289274,5,High quality - High demand,0.2901394083908921,36.26923076923077,29.76,FALSE,95.6,0.0148347549329579,7.078785258834973,11.56740485917007,FALSE,13.760379827096877,Growing
353021,Food Service Workers,No,3.6864016259909387,-1.157377378885877,5,Low quality - High demand,0.8783757877960826,10.93,9.37,FALSE,14.6,0.00206205401289417,9.21749974020575,39.71704623878537,FALSE,89.11563897504836,Declining
436010,Administrative Assistants,Yes,3.3225245623714366,-0.5969833766431317,1.4232960064743434,Low quality - High demand,2.529060697837027,19.16,16.901506849315066,FALSE,38.7,-0.00728757466662655,-9.127946756235616,3.7836682342881574,FALSE,4.178086591920228,Declining
412010,Cashiers,No,2.6972967145192914,-1.4776774431839903,5,Low quality - High demand,5,11.38,10.85,FALSE,19.4,-0.0448497149207308,-7.216746513685882,6.610703043022036,FALSE,29.093316102711213,Declining
259041,Teacher Assistants,No,2.5756270082059487,-1.3081328389197622,5,Low quality - High demand,1.093845934131007,26.523496581332484,26.523496581332484,TRUE,41.8,-0.168679491343871,5.295191722458928,9.636650868878357,FALSE,39.582791630948634,Stable
412031,Retail Salespersons,No,2.565227706272045,-0.286424014665563,3.575405144157946,Low quality - High demand,5,12.14,11.05,FALSE,36.4,0.0780936473860896,0.09689675395874703,4.927385892116183,FALSE,20.850279172914753,Declining
533030,Delivery Truck Drivers,Yes,1.8757478517772568,-1.393132562077768,5,Low quality - High demand,2.8899953708286072,19.38,15.947872340425532,FALSE,12.6,-0.0820470910581057,4.700293136561204,20.79873467773824,FALSE,33.15191619380802,Stable
353031,Waiters and Waitresses,No,1.7181623888051583,-0.8388963401848399,5,Low quality - High demand,5,11,8.92,FALSE,24.8,0.0394789423576798,3.5982008995502204,26.671261199172985,FALSE,46.57361431425467,Declining
37201X,Building Cleaners,No,1.6225896884455093,-1.6979247024026571,5,Low quality - High demand,3.9067618517814786,13.205267609539655,11.37,FALSE,12,-0.0726117356676959,4.024504381859966,26.67934093789607,FALSE,18.638029089847166,Declining
311010,Nursing and Home Health Aides,No,1.5215303963800924,-1.193339293369592,3.1158066256264876,Low quality - High demand,3.3120598264142527,12.840579254947762,10.49112970711297,FALSE,20,-0.0118315366362056,25.00154891472709,12.790697674418606,FALSE,22.499749931702258,Declining
434051,Customer Service Rep.,Yes,1.4390544394835707,-1.2579017179286625,5,Low quality - High demand,3.5413539841089268,16.69,13.59,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,29.747675962815407,FALSE,125.04184595782495,Declining
111020,General Managers,Yes,1.4203110705526576,1.2072796533520307,5,High quality - High demand,0.7670028778522073,48.45,39.34,FALSE,55.2,-0.0210377553405134,6.173190984578881,22.8266395526182,FALSE,71.74928213876477,Declining
252020,Primary School Teachers,Yes,1.4078701587882305,0.012774905760000066,3.133270245925628,High quality - High demand,1.5017644017269007,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,11.887515977844055,FALSE,29.49543614420614,Stable
4520XX,Other Agricultural Workers,No,1.3718355912427116,-0.1726569420923153,2.9013728497763807,Low quality - High demand,1.0331350017684613,12.647172533964987,12.647172533964987,TRUE,10,0.0755796458694515,1.1428571428571428,3.7231503579952268,FALSE,49.193272865635066,Declining
1311XX,Business Operations Specialist,No,1.3151006485690195,0.36282541128092155,5,High quality - High demand,0.5053244862852827,32.50063906116276,27.77479381443299,FALSE,77.53203226148784,-0.00499741783338781,10.436661265528265,26.28099173553719,FALSE,78.18709049876837,Declining
291141,Registered Nurses,Yes,1.27082897428172,1.1667094118512886,4.381289133919339,High quality - High demand,0.9954009523300291,37.01958300601847,32.8237037037037,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,25.368603642671296,FALSE,28.32569142880217,Declining
373010,Groundskeeping Workers,No,1.268250113241976,-0.9120377429133043,5,Low quality - High demand,2.029883532772535,14.85,13.6,FALSE,12.5,-0.0104568008113199,7.976366322008854,41.78255372945638,FALSE,52.23412103677234,Declining
472061,Construction Laborers,No,1.2436052687382886,-0.6586864984662844,3.9076291462084267,Low quality - High demand,3.062084205129502,17.72,15.05,FALSE,10.4,0.0029761507877839,8.535739070090209,22.566844919786096,FALSE,27.928080994299343,Growing
499071,General Repair Workers,Yes,1.2244942289565308,-0.1927746328243416,3.3404670715611227,Low quality - High demand,0.5023290303802047,18.79,16.07,FALSE,19.3,0.0425531607369738,4.219938818730877,16.363636363636363,FALSE,32.97960568449002,Declining
435081,Stock Clerks,No,1.151788983050878,-1.0445838043119513,3.890430006465575,Low quality - High demand,3.1799898573698306,13.16,12.82,FALSE,19.3,-0.0172912024458163,0.803618690149669,16.96329254727475,FALSE,51.207581916932455,Declining
253000,Other Teachers,No,1.1188282781986705,0.6594589251366001,4.38851038038027,High quality - High demand,1.2638475416336252,15.93,11.671764705882353,FALSE,69.39999999999999,0.171531440064098,7.575367173408898,16.666666666666664,FALSE,73.64995182116193,Declining
119030,Education Administrators,No,1.0175785251969824,1.2157340298185026,2.4558994832215686,High quality - High demand,0.3399447251831046,43.81,46.35571428571429,FALSE,86.9,-0.0835280652472807,4.633970429138126,11.039719626168225,FALSE,42.03011126020496,Declining
1510XX,Computer Systems Analyst,Yes,1.0094169599271685,0.7853322998972404,2.5176857213666444,High quality - High demand,1.1020796578748833,37.28707374433059,28.371811023622044,FALSE,73.52616299807845,0.0338551182364615,10.265707325364017,10.29874213836478,FALSE,46.82766114888348,Declining
433031,Accounting Clerks,Yes,1.0036443067430092,0.001893268037875262,0.05167001965494683,High quality - High demand,1.0819564240245096,19.82,16.51,FALSE,31.2,0.0589644164707734,-5.359898975726118,7.74800868935554,FALSE,0.35613127681285867,Declining
372012,House Cleaners,No,0.9660725902901122,-2.084975447557656,2.381440914982931,Low quality - High demand,2.1142202222636777,11.95,10.74,FALSE,9.9,-0.107453299105904,0.8920250299560706,20.828905419766205,FALSE,20.4765283653606,Declining
119013,Agricultural Managers,No,0.9219993265585134,-0.08606434967395193,-0.03458319357259468,Low quality - Low demand,0.6258712519934072,43.81,43.81,TRUE,34.5,-0.196858132345265,4.718176060797966,4.718176060797966,TRUE,4.507553479469591,Declining
132011,Accountants,Yes,0.8915257314832824,1.3604498711434572,3.535798087740802,High quality - High demand,0.5528484331429099,34.4,27.490000000000002,FALSE,89.2,0.102048127334589,6.3016703222540755,17.90079079798706,FALSE,77.67203051196485,Declining
411011,Retail Supervisors,No,0.8856727954214065,0.3807187467529616,1.0055361886536112,High quality - High demand,5,19.4,18.05,FALSE,36.7,0.0847242336361034,-1.3397739701057276,8.592692828146143,FALSE,19.327097141302282,Declining
