Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
311010,Nursing and Home Health Aides,No,13.798095548079123,-1.104003949778154,5,Low quality - High demand,3.340949678623725,12.840579254947762,10.302930866601754,FALSE,20,-0.0118315366362056,25.00154891472709,20.810960933160526,FALSE,80.33435367708628,Declining
353021,Food Service Workers,No,4.461381740035944,-1.068736120034821,5,Low quality - High demand,0.6088357354346708,10.93,9.01,FALSE,14.6,0.00206205401289417,9.21749974020575,24.48341725994096,FALSE,77.39876542076168,Growing
412031,Retail Salespersons,No,3.3091009838991687,-0.21553778121728173,2.061120914664349,Low quality - High demand,5,12.14,10.56,FALSE,36.4,0.0780936473860896,0.09689675395874703,8.78125615278598,FALSE,6.469624073169297,Declining
412010,Cashiers,No,2.695266148123707,-1.4431258007745809,2.7471253407799985,Low quality - High demand,5,11.38,10.04,FALSE,19.4,-0.0448497149207308,-7.216746513685882,11.252178242469505,FALSE,17.54361343355614,Growing
439061,"Office Clerks, General",No,2.4375246130507082,0.020559692449443556,0.8031533390157397,High quality - High demand,1.941163828778119,16.37,11.99,FALSE,36.4,0.0912021396842104,-4.832128284057555,6.081844901650464,FALSE,3.1836354924317125,Declining
533030,Delivery Truck Drivers,Yes,2.394064858812471,-1.3092758005698992,1.910577612642495,Low quality - High demand,3.1691554402311173,19.38,16.483945578231292,FALSE,12.6,-0.0820470910581057,4.700293136561204,9.219534459151072,FALSE,13.992521933753288,Stable
252020,Primary School Teachers,Yes,2.3726204377814497,-0.06462875892389697,1.1526548087417716,Low quality - High demand,1.8888074305976275,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,7.793959007551241,FALSE,5.142205083690393,Stable
436010,Administrative Assistants,Yes,2.3150526391076802,-0.7933142948460231,0.665553909806192,Low quality - High demand,2.9817024956664384,19.16,13.788524096385542,FALSE,38.7,-0.00728757466662655,-9.127946756235616,6.144306651634724,FALSE,1.8436027685865182,Growing
434051,Customer Service Rep.,No,2.2216562863510125,-1.436172116660635,5,Low quality - High demand,3.635307562524462,16.69,10.35,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,22.92903590613514,FALSE,109.01919914259682,Declining
37201X,Building Cleaners,No,1.9340734091375493,-1.6707752045182231,2.732009100251166,Low quality - High demand,4.043711451950171,13.205267609539655,10.57,FALSE,12,-0.0726117356676959,4.024504381859966,19.800399201596807,FALSE,13.8034494469623,Growing
291141,Registered Nurses,Yes,1.5787466436480566,1.1960115613568176,1.2863406423578336,High quality - High demand,1.4229727377216868,37.01958300601847,34.6208,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,11.437758383096003,FALSE,12.001866364045297,Declining
