Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
353021,Food Service Workers,No,3.7507372140991846,-1.1616412120639887,5,Low quality - High demand,0.7294784112603218,10.93,9.02,FALSE,14.6,0.00206205401289417,9.21749974020575,21.92809166337416,FALSE,69.84947670281025,Declining
412031,Retail Salespersons,No,2.5782723412683355,-0.29628222960532147,5,Low quality - High demand,5,12.14,10.7,FALSE,36.4,0.0780936473860896,0.09689675395874703,17.49444032616753,FALSE,15.361057332874454,Declining
436010,Administrative Assistants,No,2.468900798210113,-0.7912489404390307,2.2199038238752182,Low quality - High demand,2.826636767447697,19.16,14.95348051948052,FALSE,38.7,-0.00728757466662655,-9.127946756235616,2.0066889632107023,FALSE,12.468629891988947,Declining
311010,Nursing and Home Health Aides,No,2.4478597926757737,-1.2049034789120872,4.528668209002543,Low quality - High demand,3.838991903642221,12.840579254947762,10.19222797927461,FALSE,20,-0.0118315366362056,25.00154891472709,3.6997319034852545,FALSE,25.231228859732653,Stable
291141,Registered Nurses,Yes,2.360791575787866,1.318230256590634,5,High quality - High demand,1.5305432147089775,37.01958300601847,37.03178660049628,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,7.041552625031103,FALSE,49.131020423207254,Declining
439061,"Office Clerks, General",No,2.351980346509775,0.2218006036749831,1.8083982501617404,High quality - High demand,1.8793604444152276,16.37,15.74,FALSE,36.4,0.0912021396842104,-4.832128284057555,0.5288572085536904,FALSE,14.467846254536454,Growing
412010,Cashiers,No,2.3490931467171374,-1.4830634501127729,5,Low quality - High demand,5,11.38,10.72,FALSE,19.4,-0.0448497149207308,-7.216746513685882,10.673712021136064,FALSE,28.11561566947599,Growing
533030,Delivery Truck Drivers,Yes,2.2881788219300603,-1.1701120743216031,5,Low quality - High demand,2.9300597736091043,19.38,19.38,TRUE,12.6,-0.0820470910581057,4.700293136561204,14.885796797059594,FALSE,15.515167014204035,Growing
252020,Primary School Teachers,Yes,1.9030209126740485,-0.13661718706847403,1.8511164654979264,Low quality - High demand,1.732161064326595,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,5.151064883605745,FALSE,6.901961828925711,Declining
253000,Other Teachers,No,1.8598869610832343,0.6041184302427642,2.6358968310897133,High quality - High demand,1.3822756409448742,15.93,10.664696132596685,FALSE,69.39999999999999,0.171531440064098,7.575367173408898,4.849884526558892,FALSE,15.047673590796173,Declining
435081,Stock Clerks,No,1.7331629641536141,-0.9511116965772706,5,Low quality - High demand,3.104776824682455,13.16,14.14,FALSE,19.3,-0.0172912024458163,0.803618690149669,16.610738255033556,FALSE,50.92362375767533,Growing
37201X,Building Cleaners,No,1.6356222955987334,-1.679960580193706,5,Low quality - High demand,4.034820324411495,13.205267609539655,11.64,FALSE,12,-0.0726117356676959,4.024504381859966,18.18629866929522,FALSE,29.072017119086606,Growing
472061,Construction Laborers,No,1.4633821807654415,-0.47720937779497075,5,Low quality - High demand,3.1271005354790673,17.72,17.72,TRUE,10.4,0.0029761507877839,8.535739070090209,15.319148936170212,FALSE,33.26835427579064,Growing
434051,Customer Service Rep.,No,1.3656112336925803,-1.244360900055879,4.056344177305995,Low quality - High demand,3.5426889459211437,16.69,14.01,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,3.4898750538560965,FALSE,61.66611550447071,Growing
111020,General Managers,No,1.284706858885116,0.9027921754482269,5,High quality - High demand,0.6978374027566363,48.45,38.48,FALSE,55.2,-0.0210377553405134,6.173190984578881,17.058222676200206,FALSE,52.0979035756797,Declining
1311XX,Business Operations Specialist,No,1.248017454350441,0.6696301283840138,3.00837417836264,High quality - High demand,0.5035501781860735,32.50063906116276,33.480909090909094,FALSE,77.53203226148784,-0.00499741783338781,10.436661265528265,6.390532544378698,FALSE,33.70070111497615,Declining
292061,Practical and Vocational Nurses,Yes,1.186453476271048,0.15214622442374978,1.2033262253338863,High quality - High demand,1.0340953357127938,22.83,21.91,FALSE,21.6,0.0344257068278147,8.558758314855872,4.529441368897836,FALSE,12.33108000984499,Stable
537062,Stock Movers,No,1.179931592058287,-1.6382100279313359,2.5861912087666155,Low quality - High demand,4.2123287124324245,14.19,13.18,FALSE,13,-0.0806647210370763,4.0608322298463255,13.615819209039548,FALSE,8.103963890155997,Stable
499071,General Repair Workers,No,1.1706762603827607,-0.3113264513928124,2.216935307249366,Low quality - High demand,0.6342235684175641,18.79,14.93,FALSE,19.3,0.0425531607369738,4.219938818730877,10.951526032315979,FALSE,10.144253916321679,Stable
333010,Correctional Officers,No,1.157145038878492,-0.7748162080064386,0.9561228232674935,Low quality - High demand,-0.28866582934274243,21.78,19.384205607476634,FALSE,33.2,-0.0411841362885563,-7.2142546718817755,6.3053673788431475,FALSE,5.186886315951286,Declining
259041,Teacher Assistants,No,1.1468524788530867,-1.4527487909392494,1.7052646491191807,Low quality - High demand,1.2913034034370259,26.523496581332484,26.523496581332484,TRUE,41.8,-0.168679491343871,5.295191722458928,4.823304680038205,FALSE,20.284678634338643,Declining
411011,Retail Supervisors,No,1.0865691337548729,0.2997421947707949,3.0562438106745624,High quality - High demand,5,19.4,17.55,FALSE,36.7,0.0847242336361034,-1.3397739701057276,12.166172106824925,FALSE,24.040775385347878,Growing
353031,Waiters and Waitresses,No,1.0803395753147464,-0.7860027364438711,3.0289461042555734,Low quality - High demand,4.8589443167588895,11,9.2,FALSE,24.8,0.0394789423576798,3.5982008995502204,10.23725834797891,FALSE,30.48736186341018,Stable
1510XX,Computer Systems Analyst,Yes,1.0504237335318727,0.9778698609198151,3.8707664708172764,High quality - High demand,1.2721026423845652,37.28707374433059,32.614285714285714,FALSE,73.52616299807845,0.0338551182364615,10.265707325364017,11.299852289512554,FALSE,49.301901760408434,Declining
31909X,Other Healthcare Support Workers,Yes,1.0237014761814645,-0.8636122228345349,5,Low quality - High demand,0.9935951739708957,16.584732340937187,15.742611464968153,FALSE,36.99296176983589,-0.0211140937404211,13.531173427715753,13.29987452948557,FALSE,93.84097444003177,Growing
252030,Secondary School Teachers,Yes,0.942736395369035,0.458826063805564,0.5685121410948635,High quality - High demand,0.6519210171046157,29.64423076923077,29.64423076923077,TRUE,97.4,0.00401716316717859,3.7110075295805034,5.072046109510087,FALSE,6.631313645241405,Declining
291060,Physicians and Surgeons,No,0.932921483845822,5,3.085857069971452,High quality - High demand,-0.23741670126996983,98.5228549348964,98.5228549348964,TRUE,99.39999999999999,0.147484786506535,4.924578527062992,5.425772418990203,FALSE,70.61997494636843,Declining
372012,House Cleaners,No,0.921466772564407,-2.0951601779351825,3.895520677975834,Low quality - High demand,2.215175305518895,11.95,10.63,FALSE,9.9,-0.107453299105904,0.8920250299560706,17.431192660550458,FALSE,39.71593818793734,Declining
431011,Administrative Supervisors,No,0.8705978007031444,-0.19008601735044894,0.623453343544168,Low quality - High demand,1.436119316711924,27.22,23.39,FALSE,47.8,-0.0128715441346747,-2.4638657979480163,6.371911573472041,FALSE,6.066469154022084,Declining
373010,Groundskeeping Workers,No,0.8667226744911346,-0.9231032182920035,2.452158785229118,Low quality - High demand,2.0170152371344763,14.85,13.65,FALSE,12.5,-0.0104568008113199,7.976366322008854,7.976366322008854,TRUE,43.624056970963224,Growing
131081,Logisticians,No,0.8013765081481714,0.10261044158136812,4.461200118137566,High quality - High demand,-0.4483558377554904,35.94,36.46,FALSE,56.10000000000001,-0.0875946270191093,4.491858506457047,3.812316715542522,FALSE,200,Declining
433031,Accounting Clerks,No,0.7888771787777327,0.020470034132084813,-0.8869216919502992,High quality - Low demand,1.160076239796345,19.82,17.16,FALSE,31.2,0.0589644164707734,-5.359898975726118,1.3231197771587744,FALSE,-6.572416288735418,Declining
251000,Postsecondary Teachers,No,0.7879882866572749,0.3246570545585666,2.6705135594543035,High quality - High demand,0.332330991875161,36.26923076923077,26.569999999999997,FALSE,95.6,0.0148347549329579,7.078785258834973,13.366336633663368,FALSE,37.77084578400325,Declining
351012,Food Service Supervisors,No,0.7850880790266496,0.3160554964736818,3.1571200323205764,High quality - High demand,1.4424125953854379,16.06,17.1,FALSE,24.9,0.0900273070765292,5.2963430012610315,14.75548060708263,FALSE,49.04746003090199,Stable
352021,Food Prep Workers,No,0.7380829019824559,-0.7363654566511454,2.215015519754485,Low quality - High demand,3.0492090010467745,11.920000000000002,10.31,FALSE,17.4,0.0356965481548661,-0.4043998705920414,18.121546961325965,FALSE,14.93316772242263,Stable
493011,Aircraft Mechanics,No,0.7051194066803638,-0.21164203793826608,1.0262585659854588,Low quality - High demand,-0.4117157665304909,30.81,30.81,TRUE,33.1,-0.0747143528162666,4.98848810437452,31.21761658031088,FALSE,-25.64962427959016,Declining
399011,Childcare Workers,No,0.695908519872831,-1.0046925776780036,-0.5702912865968042,Low quality - Low demand,2.315437283443831,11.65,9.05,FALSE,30.2,0.0180587128958205,1.0031347962382446,3.776978417266187,FALSE,-6.313759949839451,Declining
131070,HR Specialists,No,0.6282689104789482,0.5137786290285067,-0.7566530477457062,High quality - Low demand,0.5762174309410096,30.02,28.22351851851852,FALSE,69.1841328413284,0.0211165504558744,6.506584043377226,5.088062622309197,FALSE,-11.735859752876602,Growing
