Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
434051,Customer Service Rep.,Yes,2.864408480739735,-1.0436290537205295,5,Low quality - High demand,3.6930359237385657,16.69,17.51,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,0.3427131768585243,FALSE,46.76335539536397,Declining
533030,Delivery Truck Drivers,Yes,2.8295335896796323,-1.1325151745144328,5,Low quality - High demand,3.089811293256992,19.38,20.979132901134523,FALSE,12.6,-0.0820470910581057,4.700293136561204,12.239014948729563,FALSE,22.947493112889187,Stable
412031,Retail Salespersons,No,2.714380338683487,-0.26784556829594275,4.1008869339426335,Low quality - High demand,5,12.14,11.77,FALSE,36.4,0.0780936473860896,0.09689675395874703,7.617852661767342,FALSE,7.417358912960912,Declining
439061,"Office Clerks, General",No,2.6819051997701697,0.228643027548596,1.993875346373462,High quality - High demand,1.9840514101899285,16.37,16.95,FALSE,36.4,0.0912021396842104,-4.832128284057555,1.0056619585879853,FALSE,13.561896229317883,Declining
436010,Administrative Assistants,Yes,2.49217450404053,-0.4501193008132385,-0.018068569848096905,Low quality - Low demand,3.001252296764221,19.16,20.565187270501838,FALSE,38.7,-0.00728757466662655,-9.127946756235616,1.4767269626105302,FALSE,0.2958564386973764,Declining
353021,Food Service Workers,No,2.4435240936571514,-1.1269326101271853,5,Low quality - High demand,0.653649411759329,10.93,9.89,FALSE,14.6,0.00206205401289417,9.21749974020575,20.885496864609134,FALSE,57.55693960617152,Growing
537062,Stock Movers,No,2.3079670754126433,-1.6186168125134222,5,Low quality - High demand,4.5125752210628916,14.19,14.02,FALSE,13,-0.0806647210370763,4.0608322298463255,18.748810656517602,FALSE,52.52834324739,Growing
311010,Nursing and Home Health Aides,No,2.167310105344072,-1.0475874382259154,5,Low quality - High demand,3.623506230427812,12.840579254947762,12.840579254947762,TRUE,20,-0.0118315366362056,25.00154891472709,18.228027984258855,FALSE,88.52535292069216,Stable
1311XX,Business Operations Specialist,Yes,2.1256722309338274,0.7039962897939561,5,High quality - High demand,0.6583971143552777,32.50063906116276,36.34793954050786,FALSE,77.53203226148784,-0.00499741783338781,10.436661265528265,14.515014449051389,FALSE,90.58279600206845,Declining
151030,Software Engineers,Yes,1.8976430314195818,1.976664304805464,5,High quality - High demand,0.3010124671557947,50.437914168861,50.227052690898844,FALSE,88.02670771668286,0.0240771871288543,18.640544286254258,17.006739913212076,FALSE,45.501355619040304,Declining
111020,General Managers,Yes,1.8231044493136925,1.8420140105610898,5,High quality - High demand,0.790983376819461,48.45,54.34,FALSE,55.2,-0.0210377553405134,6.173190984578881,12.207416920854069,FALSE,62.9410233353117,Declining
1510XX,Computer Systems Analyst,Yes,1.7808493143976825,1.128608010313864,5,High quality - High demand,1.6858925863900667,37.28707374433059,37.108105263157896,FALSE,73.52616299807845,0.0338551182364615,10.265707325364017,14.56433237605327,FALSE,65.71769993154605,Declining
291141,Registered Nurses,Yes,1.7656329949301588,1.119616541928243,5,High quality - High demand,1.099521840906964,37.01958300601847,37.01958300601847,TRUE,94.56420169863392,0.0335778915173406,6.3059341869750885,17.35896802863844,FALSE,47.93358228237854,Stable
