Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
353021,Food Service Workers,No,3.9130287583357126,-1.1926274647388517,5,Low quality - High demand,0.800225013870676,10.93,9.32,FALSE,14.6,0.00206205401289417,9.21749974020575,19.286987522281642,FALSE,46.264901357212715,Stable
311010,Nursing and Home Health Aides,No,3.1448365969722287,-1.2100279909823282,5,Low quality - High demand,3.3544996671704244,12.840579254947762,10.725851528384279,FALSE,20,-0.0118315366362056,25.00154891472709,14.059325477448192,FALSE,23.266465372562738,Declining
436010,Administrative Assistants,No,2.905762560302923,-0.8002728767422819,2.7335748503961206,Low quality - High demand,2.6448491963263425,19.16,15.146081424936389,FALSE,38.7,-0.00728757466662655,-9.127946756235616,3.9384615384615387,FALSE,6.581083658275482,Declining
412010,Cashiers,No,2.782649754379278,-1.5284997318735427,-0.4731281831062645,Low quality - Low demand,5,11.38,10.72,FALSE,19.4,-0.0448497149207308,-7.216746513685882,-2.3896663078579117,FALSE,5.070539790579906,Growing
439061,"Office Clerks, General",No,2.7276675601806812,0.1717576034678293,4.782434731194789,High quality - High demand,1.7622230550596294,16.37,15.429999999999998,FALSE,36.4,0.0912021396842104,-4.832128284057555,4.490777866880514,FALSE,17.2861251633027,Declining
533030,Delivery Truck Drivers,Yes,2.5205513988820925,-1.3022278459365046,5,Low quality - High demand,2.8267000212464177,19.38,17.779296187683286,FALSE,12.6,-0.0820470910581057,4.700293136561204,10.044467695527073,FALSE,12.358358763256234,Growing
412031,Retail Salespersons,No,2.488072249088723,-0.3262566344821094,2.0373728436790186,Low quality - High demand,5,12.14,10.94,FALSE,36.4,0.0780936473860896,0.09689675395874703,5.528287264272798,FALSE,2.3545351109850676,Declining
434051,Customer Service Rep.,No,2.2098513405011353,-1.3315973036027344,5,Low quality - High demand,3.5187852510615207,16.69,13.3,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,12.47191011235955,FALSE,64.65811156695311,Growing
37201X,Building Cleaners,No,2.049438558033306,-1.7610907662930715,5,Low quality - High demand,3.990730955849079,13.205267609539655,11.14,FALSE,12,-0.0726117356676959,4.024504381859966,20.199501246882793,FALSE,29.03103534718755,Declining
291141,Registered Nurses,Yes,1.790732918189852,1.4044083760075545,1.8711709677969883,High quality - High demand,1.048823390485724,37.01958300601847,37.01958300601847,TRUE,94.56420169863392,0.0335778915173406,6.3059341869750885,7.068532472192321,FALSE,3.3331267005790046,Growing
251000,Postsecondary Teachers,No,1.5625664373786305,0.3578490482282024,5,High quality - High demand,0.22709150415407775,36.26923076923077,26.56,FALSE,95.6,0.0148347549329579,7.078785258834973,12.676056338028168,FALSE,52.92560279493128,Declining
1311XX,Business Operations Specialist,No,1.5269175992165258,0.29621137900875066,5,High quality - High demand,0.50507163427548,32.50063906116276,28.12231818181818,FALSE,77.53203226148784,-0.00499741783338781,10.436661265528265,24.266534062655396,FALSE,44.54068684099035,Stable
435081,Stock Clerks,No,1.510145911404234,-1.0155216427391747,4.3709102625762215,Low quality - High demand,3.0907416153404093,13.16,13.71,FALSE,19.3,-0.0172912024458163,0.803618690149669,7.839795483596081,FALSE,31.50401776542933,Stable
252020,Primary School Teachers,Yes,1.5051074645066784,-0.08943489675134764,0.4976401501002502,Low quality - High demand,1.4076523714402616,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,7.527975584944049,FALSE,-4.883239435259357,Declining
111020,General Managers,Yes,1.4828436410248742,0.962085233637995,5,High quality - High demand,0.7435400154233569,48.45,38.03,FALSE,55.2,-0.0210377553405134,6.173190984578881,13.076923076923078,FALSE,46.50837900897454,Declining
253000,Other Teachers,No,1.2797065935766512,0.9867825753901881,5,High quality - High demand,1.212170277485513,15.93,15.93,TRUE,69.39999999999999,0.171531440064098,7.575367173408898,9.235668789808917,FALSE,64.38860574045496,Stable
499071,General Repair Workers,No,1.2150496331856522,-0.24874091680766103,4.445527318202725,Low quality - High demand,0.6238516486293996,18.79,16.01,FALSE,19.3,0.0425531607369738,4.219938818730877,15.03431066749844,FALSE,26.510639456615053,Stable
537062,Stock Movers,No,1.1633752454709674,-1.7276948271746504,3.186487492560043,Low quality - High demand,4.615868392086845,14.19,12.48,FALSE,13,-0.0806647210370763,4.0608322298463255,10.142630744849445,FALSE,24.034584792654236,Growing
472061,Construction Laborers,No,1.0973977111362447,-0.6671539724621285,5,Low quality - High demand,3.071066697315378,17.72,15.56,FALSE,10.4,0.0029761507877839,8.535739070090209,22.18080149114632,FALSE,34.6095911473124,Growing
433031,Accounting Clerks,No,1.055129696372026,-0.046805659343021166,-1.0537320483220085,Low quality - Low demand,1.1258885537972778,19.82,16.54,FALSE,31.2,0.0589644164707734,-5.359898975726118,3.911806543385491,FALSE,-10.746502164270433,Declining
259041,Teacher Assistants,No,1.0419971993688322,-1.4125388870866622,1.4370975415232767,Low quality - High demand,1.069732340964845,26.523496581332484,26.523496581332484,TRUE,41.8,-0.168679491343871,5.295191722458928,9.417398244213887,FALSE,5.978364573558341,Stable
353031,Waiters and Waitresses,No,1.010809938372218,-0.8604295939339812,0.6873930685337227,Low quality - High demand,5,11,8.98,FALSE,24.8,0.0394789423576798,3.5982008995502204,8.390865639936273,FALSE,-0.3935057657301057,Declining
252030,Secondary School Teachers,Yes,0.995056069986622,0.5090417546380327,0.24556413931188592,High quality - High demand,0.44568621321192076,29.64423076923077,29.64423076923077,TRUE,97.4,0.00401716316717859,3.7110075295805034,7.813446396123562,FALSE,-4.086047776126165,Declining
31909X,Other Healthcare Support Workers,No,0.9933720233302152,-0.8143116792157966,5,Low quality - High demand,0.7766990209239215,16.584732340937187,16.584732340937187,TRUE,36.99296176983589,-0.0211140937404211,13.531173427715753,19.402985074626866,FALSE,70.38162297052656,Stable
411011,Retail Supervisors,No,0.9877761898332547,0.3735020589733311,0.9155966897663413,High quality - High demand,5,19.4,18.62,FALSE,36.7,0.0847242336361034,-1.3397739701057276,8.552631578947368,FALSE,2.385864357796824,Growing
373010,Groundskeeping Workers,No,0.9843833268256582,-1.0913328294698823,5,Low quality - High demand,1.9753150124292216,14.85,11.999473684210527,FALSE,12.5,-0.0104568008113199,7.976366322008854,27.11076684740511,FALSE,21.251936287448128,Growing
372012,House Cleaners,No,0.9057677166353753,-2.167846168006178,-0.03602078458398564,Low quality - Low demand,2.1853531728150246,11.95,10.28,FALSE,9.9,-0.107453299105904,0.8920250299560706,0.8920250299560706,TRUE,5.90786483065915,Declining
