Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
311010,Nursing and Home Health Aides,No,7.132042835114381,-1.2866381980392692,5,Low quality - High demand,2.5812348935479306,12.840579254947762,9.04691983122363,FALSE,20,-0.0118315366362056,25.00154891472709,11.153119092627598,FALSE,7.980156358073344,Stable
412010,Cashiers,No,3.685214278553644,-1.5035854930746335,5,Low quality - High demand,5,11.38,10.34,FALSE,19.4,-0.0448497149207308,-7.216746513685882,14.008374571754853,FALSE,31.65302944604215,Declining
353021,Food Service Workers,No,3.373777664439138,-1.1530399355897476,5,Low quality - High demand,0.5859980562645214,10.93,9.04,FALSE,14.6,0.00206205401289417,9.21749974020575,22.777510812109565,FALSE,81.9462501144979,Stable
533030,Delivery Truck Drivers,Yes,3.008815968009509,-1.1507250046598576,5,Low quality - High demand,3.6481376335880205,19.38,19.38,TRUE,12.6,-0.0820470910581057,4.700293136561204,19.347942276857296,FALSE,24.441386743297993,Growing
412031,Retail Salespersons,No,2.7200680266638093,-0.37169445739082696,5,Low quality - High demand,5,12.14,9.64,FALSE,36.4,0.0780936473860896,0.09689675395874703,23.117338003502628,FALSE,26.8587693036741,Declining
37201X,Building Cleaners,No,2.6302519865727887,-1.8629923295297326,5,Low quality - High demand,4.543308157004684,13.205267609539655,9.18,FALSE,12,-0.0726117356676959,4.024504381859966,15.49421193232413,FALSE,46.841881296112405,Growing
436010,Administrative Assistants,Yes,2.3117923440586567,-0.44624582607236535,1.618786675408528,Low quality - High demand,2.3369122694140017,19.16,19.16,TRUE,38.7,-0.00728757466662655,-9.127946756235616,4.938271604938271,FALSE,8.924584064998689,Declining
439061,"Office Clerks, General",No,2.235470473428547,0.006117477607258226,3.2633736714732366,High quality - High demand,1.5619062275464128,16.37,12.829999999999998,FALSE,36.4,0.0912021396842104,-4.832128284057555,10.875512995896033,FALSE,12.391291893921885,Declining
252020,Primary School Teachers,No,2.0389469213502216,-0.1072728545601353,1.2296800303162247,Low quality - High demand,1.678916728071464,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,4.428044280442804,FALSE,8.796326323892355,Stable
253000,Other Teachers,No,1.9087370825848795,1.0258609843044084,5,High quality - High demand,1.1112866983655787,15.93,15.93,TRUE,69.39999999999999,0.171531440064098,7.575367173408898,4.990019960079841,FALSE,99.08873809846219,Declining
333021,Criminal Investigators,Yes,1.8793970285280817,0.6645198028878709,5,High quality - High demand,-0.21139110388174617,39.989999999999995,41.15,FALSE,70.1,-0.07162669173016,1.1596788581623525,9.690721649484537,FALSE,82.81335100553687,Declining
537062,Stock Movers,No,1.705271429330387,-1.6666546652856389,5,Low quality - High demand,5,14.19,12.66,FALSE,13,-0.0806647210370763,4.0608322298463255,23.50791717417783,FALSE,29.77231131848084,Growing
4520XX,Other Agricultural Workers,No,1.6084463114673968,-0.36249367276909383,-1.1569591908244277,Low quality - Low demand,1.2619441671341476,12.647172533964987,10.065,FALSE,10,0.0755796458694515,1.1428571428571428,-3.7339556592765457,FALSE,1.3028633367242222,Declining
411011,Retail Supervisors,No,1.4817457366564621,0.3933004966501573,4.332981746942963,High quality - High demand,5,19.4,18.54,FALSE,36.7,0.0847242336361034,-1.3397739701057276,16.630901287553648,FALSE,39.286167453684335,Declining
472061,Construction Laborers,No,1.4236717972227788,-0.909505359749959,5,Low quality - High demand,4.241934566610356,17.72,12.02,FALSE,10.4,0.0029761507877839,8.535739070090209,21.85089974293059,FALSE,77.48538377004286,Growing
435081,Stock Clerks,No,1.263828287935314,-1.0161872529970677,5,Low quality - High demand,3.4293054866169923,13.16,13.15,FALSE,19.3,-0.0172912024458163,0.803618690149669,29.92125984251969,FALSE,53.22874786417441,Growing
111020,General Managers,No,1.1765379273232568,0.5740622061473384,5,High quality - High demand,0.6561440979245364,48.45,33.8,FALSE,55.2,-0.0210377553405134,6.173190984578881,26.294277929155314,FALSE,79.16064342967108,Declining
252030,Secondary School Teachers,No,1.1615467776047372,0.4886544935641949,0.4174373266929563,High quality - High demand,0.6827086295069779,29.64423076923077,29.64423076923077,TRUE,97.4,0.00401716316717859,3.7110075295805034,3.076923076923077,FALSE,11.673972993958886,Declining
499071,General Repair Workers,Yes,1.14446241221468,-0.5494406358551748,4.36303103542107,Low quality - High demand,0.9889165364825176,18.79,11.74,FALSE,19.3,0.0425531607369738,4.219938818730877,26.906474820143885,FALSE,38.86722379533252,Stable
259041,Teacher Assistants,No,1.1425358669672363,-1.424533259939452,1.1065563228219133,Low quality - High demand,0.9972835276714631,26.523496581332484,26.523496581332484,TRUE,41.8,-0.168679491343871,5.295191722458928,6.149732620320856,FALSE,18.43884224550947,Stable
