Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
533030,Delivery Truck Drivers,Yes,6.11668875284174,-1.1055894023235355,5,Low quality - High demand,4.115185902970134,19.38,21.353466579292267,FALSE,12.6,-0.0820470910581057,4.700293136561204,30.79997335642443,FALSE,216.01003988184945,Declining
4750YY,Extraction machinery laborers,Yes,3.3590163163284372,-0.9742608430639954,5,Low quality - High demand,-0.3679892440681901,23.4673232799246,22.570060913705586,FALSE,11.1,-0.0775855364367231,26.31578947368421,26.649984360337818,FALSE,200,Declining
353021,Food Service Workers,No,3.1195476803340694,-1.0613979283819281,5,Low quality - High demand,0.37617614353263934,10.93,10.89,FALSE,14.6,0.00206205401289417,9.21749974020575,39.535213263426385,FALSE,99.1140201076206,Declining
4750XX,Other Extraction Workers,No,3.0395155130483946,-0.19403074108285556,5,Low quality - High demand,-0.05093630722440227,18.818961240310077,18.818961240310077,TRUE,11.6679180887372,0.0323348194704698,23.265306122448973,26.519263868661458,FALSE,200,Declining
439061,"Office Clerks, General",No,2.7418015350575446,0.2886091052193136,4.058227789272391,High quality - High demand,1.6197413548149464,16.37,17.7,FALSE,36.4,0.0912021396842104,-4.832128284057555,8.446589610059698,FALSE,53.03622684831326,Declining
412031,Retail Salespersons,No,2.6799809196904065,-0.17191126014609137,3.1532989826410183,Low quality - High demand,5,12.14,13.1,FALSE,36.4,0.0780936473860896,0.09689675395874703,11.519642108206348,FALSE,22.427042529163383,Declining
111020,General Managers,No,2.2745277778849937,1.7379497951908138,5,High quality - High demand,0.7847223722056662,48.45,52.38,FALSE,55.2,-0.0210377553405134,6.173190984578881,23.004010207801677,FALSE,131.08320872563885,Declining
471011,Construction Supervisors,Yes,2.0804322474692842,0.9936303551730266,5,High quality - High demand,1.4143889975220245,31.83,34.81,FALSE,18.8,0.0347791662821155,5.356176735798025,22.574447646493756,FALSE,220.88261648659096,Declining
436010,Administrative Assistants,Yes,2.014368379272557,-0.6190869491344991,0.5992101178071472,Low quality - High demand,2.4614709256586234,19.16,18.195828220858896,FALSE,38.7,-0.00728757466662655,-9.127946756235616,1.0072941993747828,FALSE,19.487688799183463,Declining
412010,Cashiers,No,1.9291625720877108,-1.4264837328704032,2.1772464566046574,Low quality - High demand,4.829595439110214,11.38,12.05,FALSE,19.4,-0.0448497149207308,-7.216746513685882,6.131979695431472,FALSE,46.079448480006064,Declining
472061,Construction Laborers,No,1.5919837679596052,-0.6427427165467096,5,Low quality - High demand,4.913820661269002,17.72,16.52,FALSE,10.4,0.0029761507877839,8.535739070090209,22.957371225577266,FALSE,148.02833514384017,Growing
