Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
412031,Retail Salespersons,No,3.8437363723140447,-0.29222920875965064,5,Low quality - High demand,5,12.14,11.53,FALSE,36.4,0.0780936473860896,0.09689675395874703,25.219522156422297,FALSE,86.74347087308526,Declining
353021,Food Service Workers,No,3.605592930592924,-1.0940241907082873,5,Low quality - High demand,0.7800698328179676,10.93,10.53,FALSE,14.6,0.00206205401289417,9.21749974020575,36.82013358778626,FALSE,130.5774975089578,Growing
436010,Administrative Assistants,No,2.7630305928383407,-0.5135243406054043,5,Low quality - High demand,2.9298475724779927,19.16,19.16,TRUE,38.7,-0.00728757466662655,-9.127946756235616,25.772526616463253,FALSE,45.417980060678595,Growing
412010,Cashiers,No,2.663219986709622,-1.478020913719384,5,Low quality - High demand,5,11.38,11.34,FALSE,19.4,-0.0448497149207308,-7.216746513685882,18.415727088753975,FALSE,72.18757872196734,Stable
439061,"Office Clerks, General",No,2.2410511667019217,0.28650145216769807,5,High quality - High demand,1.901885483723498,16.37,17.38,FALSE,36.4,0.0912021396842104,-4.832128284057555,30.110996386164175,FALSE,72.07986156311486,Stable
252020,Primary School Teachers,No,2.11694127534634,-0.18022553418796528,5,Low quality - High demand,1.9315788761106896,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,28.243190912611333,FALSE,36.966633932273496,Declining
533030,Delivery Truck Drivers,Yes,1.9730431124652832,-1.2085492640498305,5,Low quality - High demand,2.776368975270679,19.38,19.38,TRUE,12.6,-0.0820470910581057,4.700293136561204,34.94499131441807,FALSE,93.18202136192959,Growing
434051,Customer Service Rep.,No,1.904789695018318,-1.2338737671985935,5,Low quality - High demand,3.750571554545802,16.69,14.7,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,20.78370447091317,FALSE,148.3741463894242,Stable
353031,Waiters and Waitresses,No,1.8633103853593096,-0.863311000350953,5,Low quality - High demand,5,11,8.91,FALSE,24.8,0.0394789423576798,3.5982008995502204,29.026478200278717,FALSE,102.58902622945865,Declining
253000,Other Teachers,No,1.8529060315531007,0.9391500347973608,5,High quality - High demand,1.5176732060738645,15.93,15.93,TRUE,69.39999999999999,0.171531440064098,7.575367173408898,33.42644320297951,FALSE,162.11441712683364,Declining
472061,Construction Laborers,No,1.7684174875450547,-0.7524788199633765,5,Low quality - High demand,2.79920941729669,17.72,14.82,FALSE,10.4,0.0029761507877839,8.535739070090209,40.76936904547906,FALSE,121.92915169308101,Growing
311010,Nursing and Home Health Aides,No,1.7576778164366436,-1.1159383114451418,5,Low quality - High demand,3.5252190411438575,12.840579254947762,11.95327022375215,FALSE,20,-0.0118315366362056,25.00154891472709,26.700993012136813,FALSE,104.14071619608775,Growing
111020,General Managers,No,1.7520394508471364,1.2718463048607456,5,High quality - High demand,0.8482461408157213,48.45,43.86,FALSE,55.2,-0.0210377553405134,6.173190984578881,38.7375415282392,FALSE,151.83577147053623,Declining
1311XX,Business Operations Specialist,No,1.4844285171341165,0.5521180077387863,5,High quality - High demand,0.6449970625340853,32.50063906116276,32.61404358353511,FALSE,77.53203226148784,-0.00499741783338781,10.436661265528265,38.01101768628588,FALSE,175.74427664337767,Declining
151030,Software Engineers,Yes,1.4600964219159247,2.246002552669149,5,High quality - High demand,0.3295051101233208,50.437914168861,50.877242888402634,FALSE,88.02670771668286,0.0240771871288543,18.640544286254258,48.42511684616948,FALSE,202.19669411652106,Declining
37201X,Building Cleaners,No,1.41154651424893,-1.630735557116276,4.421985858982072,Low quality - High demand,3.601217574341694,13.205267609539655,12.78,FALSE,12,-0.0726117356676959,4.024504381859966,32.64472736007687,FALSE,62.249250442252716,Growing
414010,Wholesale Sales Rep.,No,1.3947432197843679,0.4715659381940025,0.6315452155926585,High quality - High demand,1.8452046669862596,30.29,30.29,TRUE,57.60000000000001,0.00547575141561074,2.9415661852391737,2.9415661852391737,TRUE,27.452287732158176,Stable
435081,Stock Clerks,No,1.2800931868304466,-1.0572498551197582,4.070227009251756,Low quality - High demand,3.056431395493708,13.16,13.38,FALSE,19.3,-0.0172912024458163,0.803618690149669,23.269275295207223,FALSE,123.54759108894464,Growing
373010,Groundskeeping Workers,No,1.2289993195125446,-0.8781017897941487,5,Low quality - High demand,1.8590608758073413,14.85,14.85,TRUE,12.5,-0.0104568008113199,7.976366322008854,43.73678646934461,FALSE,101.14697194920129,Growing
411011,Retail Supervisors,No,1.2145677830879664,0.35746848882769716,2.9800423985125963,High quality - High demand,5,19.4,19.09,FALSE,36.7,0.0847242336361034,-1.3397739701057276,22.79596977329975,FALSE,66.85171756021587,Declining
291141,Registered Nurses,Yes,1.19760691574806,1.1451111126531157,4.353401642548612,High quality - High demand,1.205037179236427,37.01958300601847,35.52129807692308,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,34.34182590233546,FALSE,100.69055115816244,Growing
1510XX,Computer Systems Analyst,Yes,1.1920595566162857,1.061596052951558,5,High quality - High demand,1.7055446288429537,37.28707374433059,34.41082595870206,FALSE,73.52616299807845,0.0338551182364615,10.265707325364017,53.89789055334761,FALSE,118.16743349603908,Declining
433031,Accounting Clerks,Yes,1.0929087150063015,0.08184502631414986,2.423122748537368,High quality - High demand,1.2902464540216418,19.82,18.7,FALSE,31.2,0.0589644164707734,-5.359898975726118,27.872340425531917,FALSE,40.56422569697206,Stable
252030,Secondary School Teachers,No,1.041436337027242,0.40757087553423904,2.1200184398101647,High quality - High demand,0.8010914496587562,29.64423076923077,29.64423076923077,TRUE,97.4,0.00401716316717859,3.7110075295805034,28.36776859504132,FALSE,33.1157750276007,Declining
537062,Stock Movers,No,1.0407441205807828,-1.6826141173190723,3.7643899109149386,Low quality - High demand,3.8629645365987266,14.19,13.1,FALSE,13,-0.0806647210370763,4.0608322298463255,34.078447912273305,FALSE,112.20517939304804,Growing
431011,Administrative Supervisors,No,0.9114595571778752,-0.011981523332225921,2.2000990387962713,Low quality - High demand,1.5781535018988087,27.22,26.31,FALSE,47.8,-0.0128715441346747,-2.4638657979480163,21.633663366336634,FALSE,88.08728283698275,Declining
259041,Teacher Assistants,No,0.9028934358202586,-1.4795072578677801,2.0413772052925796,Low quality - High demand,1.262244532316228,26.523496581332484,26.523496581332484,TRUE,41.8,-0.168679491343871,5.295191722458928,30.720606826801518,FALSE,42.27416429658502,Declining
372012,House Cleaners,No,0.8952849119431031,-2.180618810723791,3.40644646084778,Low quality - High demand,1.8593018461400517,11.95,9.97,FALSE,9.9,-0.107453299105904,0.8920250299560706,41.90023752969121,FALSE,95.03897607150121,Declining
499071,General Repair Workers,Yes,0.8863028004218154,-0.20636823666464377,2.9279631800815844,Low quality - High demand,0.49642091316221076,18.79,17,FALSE,19.3,0.0425531607369738,4.219938818730877,38.867635807192045,FALSE,72.28904496837934,Growing
132011,Accountants,Yes,0.8711437166207079,1.6389249496871692,3.6826520384324066,High quality - High demand,0.7580799231841137,34.4,33.48,FALSE,89.2,0.102048127334589,6.3016703222540755,46.93796918214145,FALSE,106.35914707503613,Declining
399011,Childcare Workers,No,0.8569732837974565,-0.936998968931125,2.534511947972833,Low quality - High demand,2.2600913469706496,11.65,10.59,FALSE,30.2,0.0180587128958205,1.0031347962382446,39.00630329996292,FALSE,52.813514850938546,Growing
351012,Food Service Supervisors,No,0.8503816918748078,0.4250495541850923,2.7433104868001044,High quality - High demand,1.580961576663393,16.06,19.31,FALSE,24.9,0.0900273070765292,5.2963430012610315,30.97579425113464,FALSE,113.56648833786076,Declining
413099,Other Service Sales Rep.,No,0.8270258646105467,0.15963501413295766,4.037912756504793,High quality - High demand,0.6278389850711089,26.99,18.73,FALSE,60.6,0.0668868809501357,6.440931424909202,40.86477320898686,FALSE,200,Growing
472031,Carpenters,Yes,0.8099009029190986,-0.49918725897806515,1.4688592230026773,Low quality - High demand,1.3485151334583847,23.239999999999995,18.1,FALSE,12.4,0.00285160124231654,-1.0834813499111942,35.66591422121896,FALSE,17.07463493056159,Stable
252010,Preschool Teachers,No,0.7509651762291712,-0.7018875669157165,2.5667634385815616,Low quality - High demand,0.4710031941990375,16.65,13.62,FALSE,61.8,0.0180618281889013,2.3500526131182,40.83874188716924,FALSE,85.2354180173187,Stable
471011,Construction Supervisors,No,0.7362227441530332,0.7910286182294044,2.1507662826942413,High quality - High demand,0.5273376306194346,31.83,30.810000000000002,FALSE,18.8,0.0347791662821155,5.356176735798025,40.832632464255674,FALSE,54.05690340498261,Declining
352021,Food Prep Workers,No,0.6883458539559959,-0.597534173797312,1.4001333535965248,Low quality - High demand,3.1322969112431087,11.920000000000002,12.8,FALSE,17.4,0.0356965481548661,-0.4043998705920414,27.487437185929647,FALSE,58.30851024938419,Stable
493023,Vehicle Mechanics,Yes,0.6269804791472581,-1.0433046711109515,1.3269084144882077,Low quality - High demand,0.6016178495975861,20.24,22.6,FALSE,16.5,-0.0909265813294713,-0.6282562059454524,28.00453514739229,FALSE,69.57894015551481,Declining
472150,Pipelayers & Plumbers,Yes,0.617649155421421,-1.3289279355630634,2.5094105376150453,Low quality - High demand,0.11274836622222381,25.92,17.594583333333333,FALSE,12.5,-0.0801424020448565,4.949608062709959,53.16301703163017,FALSE,94.0392161513386,Stable
533041,Taxi Drivers,No,0.6097860066261881,-1.2401413094321776,0.7674707197302841,Low quality - High demand,0.1560021146165366,15.07,14.71,FALSE,28.800000000000004,-0.0473253714377662,5.499775213547138,5.499775213547138,TRUE,128.82736716718466,Declining
31909X,Other Healthcare Support Workers,Yes,0.6070516704016471,-0.8450250738625286,2.503051827318621,Low quality - High demand,0.8374519390581835,16.584732340937187,16.584732340937187,TRUE,36.99296176983589,-0.0211140937404211,13.531173427715753,47.1815357301376,FALSE,147.28784501642156,Stable
472111,Electricians,Yes,0.5919445077540139,-0.518508417860626,2.1795217867523897,Low quality - High demand,0.1408698135170773,27.009999999999998,23.559999999999995,FALSE,23.1,-0.0436500338761303,9.3315587104407,49.747899159663866,FALSE,86.36759723294122,Growing
292050,Health Support Technicians,Yes,0.5898308877407126,-0.19261174152439542,2.3405443817740905,Low quality - High demand,0.1778654670809738,17.12,17.12,TRUE,44.00000000000001,0.0430199607808062,6.887164829181966,41.442622950819676,FALSE,191.72949392438906,Stable
252050,Special Education Teachers,No,0.5696145764275853,-0.030111768991670618,0.8893610622660203,Low quality - High demand,-0.03204233555009984,29.346153846153847,29.346153846153847,TRUE,89.2,-0.0395052608445265,3.373392367699756,27.337662337662337,FALSE,48.482988765876186,Declining
434171,Receptionists,No,0.5598164672762682,-1.0934941966134268,1.1953679034219604,Low quality - High demand,2.281717414410006,14.45,14.15,FALSE,29.9,-0.0273681942206463,3.7850188754222156,31.194295900178254,FALSE,68.81748159584885,Growing
399030,Fitness Workers,No,0.557583087217609,-0.0661062521011826,2.233539641990925,Low quality - High demand,0.6454843166399253,14.66,16.719883040935674,FALSE,59.50000000000001,0.0595602680077763,12.322791712104673,44.09063074096755,FALSE,183.22610898052704,Declining
151081,Network Systems Analyst,No,0.5507432079841063,1.4443037948925603,2.7959029910594118,High quality - High demand,0.4707698457559286,40.65687187635418,39.24627118644067,FALSE,70.05132518421203,0.0346478676071507,5.793674253621036,63.06729264475743,FALSE,157.57820443165264,Declining
4520XX,Other Agricultural Workers,No,0.5429754776146608,-0.25643514035106285,0.5891966773086241,Low quality - High demand,0.9427954367870321,12.647172533964987,12.3,FALSE,10,0.0755796458694515,1.1428571428571428,14.615586460246654,FALSE,74.81948759743378,Declining
119021,Construction Managers,No,0.5395091671666402,1.1330249076379488,1.413500067591162,High quality - High demand,0.6979073634567823,43.81,42.61,FALSE,42.09999999999999,-0.0254304007292441,15.143603133159257,38.63080684596577,FALSE,72.89170478034421,Growing
47207X,Construction Operators,No,0.49327792781121577,-1.2901916456900455,1.3163434912670362,Low quality - High demand,0.005675931904218108,23.606651762808767,18.44,FALSE,8.3,-0.0829618022712135,4.075408927086218,38.27227993439038,FALSE,90.80044003819707,Declining
395012,Hairdressers,No,0.48426321762333535,-1.187804866775124,1.4451062464035889,Low quality - High demand,0.22191932314913398,12.54,12.54,TRUE,18.1,-0.0241555591292939,-8.19231802309965,44.1343669250646,FALSE,88.03273324357937,Growing
537051,Industrial Truck Operators,No,0.48233388503690805,-2.172164165633225,0.19826092532428552,Low quality - High demand,0.16353862010669734,17.4,17.4,TRUE,8.200000000000001,-0.167085065596942,2.7413387151025823,2.7413387151025823,TRUE,100.86516928627243,Declining
419020,Real Estate Agents,No,0.4808840018481862,1.1056754308212853,1.187055122440606,High quality - High demand,0.17133383626858104,24.39,24.39,TRUE,59.8,0.120105182622374,10.878048780487811,42.70916334661354,FALSE,59.59865454153065,Stable
251000,Postsecondary Teachers,No,0.48081862208349085,-0.08789673863458419,0.7662579632495973,Low quality - High demand,0.465956716077008,36.26923076923077,21.93,FALSE,95.6,0.0148347549329579,7.078785258834973,27.784290738569755,FALSE,65.93827094600114,Stable
435071,Shipping Clerks,No,0.4741694181806582,-1.2161723278277945,0.6158135729273516,Low quality - High demand,0.445522664265641,16.44,16.98,FALSE,18,-0.0632987460933339,-8.83728179551123,25.225225225225223,FALSE,59.78844242726438,Growing
119030,Education Administrators,No,0.46807951556395827,0.6727392013569251,0.7868608077393275,High quality - High demand,0.5245644101111011,43.81,43.81,TRUE,86.9,-0.0835280652472807,4.633970429138126,27.097767513471897,FALSE,78.66568867015984,Declining
271020,Designers,Yes,0.46256015834883246,0.4344424248337966,0.7905355969586865,High quality - High demand,0.7023017072188421,21.35,21.35,TRUE,72.6,0.0743970646618384,-0.8863283846665189,24.74012474012474,FALSE,95.35395716373397,Declining
413021,Insurance Agents,No,0.4376658551541434,-0.11174789031955526,1.3770586361932924,Low quality - High demand,-0.2116236770938827,24.49,20.63,FALSE,57.99999999999999,0.0229195847638266,9.17825537294564,36.865839909808344,FALSE,197.388225502254,Declining
3590XX,Other Hospitality Workers,No,0.43697826510961135,-0.9702020145259121,0.2908297522189564,Low quality - High demand,0.7751076599986798,11.376036901577596,11.376036901577596,TRUE,14.3,0.00817038821766225,7.286673058485133,7.286673058485133,TRUE,116.76420529211238,Stable
211010,Counselors,No,0.42946204017427014,0.0579450770517244,0.8242182942690619,High quality - High demand,0.6375922094081143,23.45,23.45,TRUE,86.2,0.0177652188018822,12.191336249470858,29.64635063957863,FALSE,99.34283472386237,Declining
131111,Management Analysts,Yes,0.4051953725714196,1.548209494260635,1.138379193225641,High quality - High demand,0.7570753242614098,40.99,38.74,FALSE,82.89999999999999,0.0496801792297092,13.800028690288327,38.31615120274915,FALSE,152.02926247035725,Declining
292061,Practical and Vocational Nurses,Yes,0.401200838034724,0.21663826911074596,0.12620593362903193,High quality - High demand,0.6644316157011044,22.83,23.45,FALSE,21.6,0.0344257068278147,8.558758314855872,22.062350119904075,FALSE,38.32149159651849,Growing
2310XX,Lawyers & Judges,No,0.3853611893613061,3.9964198057575526,0.895947901615447,High quality - High demand,-0.32743161235099166,58.134900268348694,57.818,FALSE,98.5753212641568,0.151311296067354,5.618442849254562,44.78260869565218,FALSE,72.46580767973595,Declining
472140,Painters,No,0.38433003403476795,-1.5275438836889499,-0.1462415281842625,Low quality - Low demand,0.3240998702848838,19.37,17.85,FALSE,10.6,-0.103074640159152,1.7691287041132244,21.15987460815047,FALSE,18.10466207530828,Growing
353011,Bartenders,No,0.3781998463580021,-0.7240862327644931,1.380216387559597,Low quality - High demand,0.646068705060159,11.39,9.86,FALSE,30.2,0.0463575178350291,6.013323983169698,54.606741573033716,FALSE,143.09047351044958,Declining
519061,Product Inspectors,No,0.37510184311638073,0.019972031079870556,-0.18809985948841157,High quality - Low demand,0.6673821209591959,18.82,17.92,FALSE,27.9,0.0588219609070788,-17.29323308270676,-3.389830508474576,FALSE,104.899548261929,Declining
