Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
412031,Retail Salespersons,No,3.622010822478419,-0.24088361004495085,-5,Low quality - Low demand,5,12.14,11.97,FALSE,36.4,0.0780936473860896,0.09689675395874703,-3.821867730142905,FALSE,-9.71732759423661,Declining
311010,Nursing and Home Health Aides,No,3.188623988906291,-1.2385928516349731,5,Low quality - High demand,3.1757204707481828,12.840579254947762,10.1001768172888,FALSE,20,-0.0118315366362056,25.00154891472709,11.806797853309481,FALSE,6.73363868866514,Growing
353021,Food Service Workers,No,3.137832502961683,-1.193655580387677,5,Low quality - High demand,0.5505223801776452,10.93,8.92,FALSE,14.6,0.00206205401289417,9.21749974020575,13.991531947652039,FALSE,32.46565310065481,Declining
439061,"Office Clerks, General",No,2.669726078745944,0.17049994165902704,0.0638350519597819,High quality - High demand,1.566054558598709,16.37,15.82,FALSE,36.4,0.0912021396842104,-4.832128284057555,-1.4346332592442916,FALSE,5.516116473646546,Declining
533030,Delivery Truck Drivers,Yes,2.5128428455378637,-1.4685164742495815,5,Low quality - High demand,3.6195238302707637,19.38,16.026641604010027,FALSE,12.6,-0.0820470910581057,4.700293136561204,8.933643170668732,FALSE,12.52681554820844,Declining
436010,Administrative Assistants,Yes,2.3724394527716277,-0.7885673786752186,-5,Low quality - Low demand,2.423753235068677,19.16,15.570108108108107,FALSE,38.7,-0.00728757466662655,-9.127946756235616,-3.934347091479604,FALSE,-15.998116364100646,Declining
472061,Construction Laborers,No,1.7982444828555642,-0.6303504526716531,5,Low quality - High demand,5,17.72,16.38,FALSE,10.4,0.0029761507877839,8.535739070090209,12.504235852253473,FALSE,63.73618541461127,Declining
291141,Registered Nurses,Yes,1.7161843604508735,1.0382846582055008,-2.5393409508486986,High quality - Low demand,1.1779848975593536,37.01958300601847,34.89514084507042,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,-2.7125372146873965,FALSE,-6.398187075756923,Growing
252020,Primary School Teachers,Yes,1.6652428643217851,-0.2203330291433278,-1.9035780811756908,Low quality - Low demand,1.3796851044137548,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,1.9320453031312457,FALSE,-12.694953885905683,Growing
37201X,Building Cleaners,No,1.6558461402021225,-1.7112105887002635,3.3421813463103254,Low quality - High demand,4.870776069926998,13.205267609539655,11.55,FALSE,12,-0.0726117356676959,4.024504381859966,8.721506442021804,FALSE,2.5841588793483377,Declining
412010,Cashiers,No,1.632601143355036,-1.5137570365697623,-3.0741228158936575,Low quality - Low demand,5,11.38,10.64,FALSE,19.4,-0.0448497149207308,-7.216746513685882,-5.737704918032787,FALSE,-3.4882442700965113,Declining
111020,General Managers,No,1.5779538986486028,0.9051691121753789,5,High quality - High demand,0.6429129226537791,48.45,40.12,FALSE,55.2,-0.0210377553405134,6.173190984578881,7.985697258641239,FALSE,39.580158804717605,Declining
353031,Waiters and Waitresses,No,1.557497664344652,-0.8185155281420715,1.777916530147286,Low quality - High demand,4.162362510726773,11,9.16,FALSE,24.8,0.0394789423576798,3.5982008995502204,3.65296803652968,FALSE,6.07703657381528,Declining
414010,Wholesale Sales Rep.,No,1.3453712521161896,0.23453111762888157,4.398426060815153,High quality - High demand,1.3396860474642984,30.29,27.69305785123967,FALSE,57.60000000000001,0.00547575141561074,2.9415661852391737,11.534154535274356,FALSE,10.497288216304732,Declining
