Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
412031,Retail Salespersons,No,3.2642504106887626,-0.27067825808622714,5,Low quality - High demand,5,12.14,11.99,FALSE,36.4,0.0780936473860896,0.09689675395874703,16.11363303558354,FALSE,22.406855989248843,Declining
353021,Food Service Workers,No,3.2452035240046104,-1.1755097281892144,5,Low quality - High demand,0.6397636794818975,10.93,9.5,FALSE,14.6,0.00206205401289417,9.21749974020575,29.24492783936415,FALSE,85.95423111018415,Growing
533030,Delivery Truck Drivers,Yes,2.7044355685643104,-1.2089770541661153,5,Low quality - High demand,3.1654770625323008,19.38,20.0830848675348,FALSE,12.6,-0.0820470910581057,4.700293136561204,19.03249752556912,FALSE,62.66533257321938,Declining
537062,Stock Movers,No,2.4216143572235107,-1.5638044940172104,5,Low quality - High demand,4.6963589257122935,14.19,15.01,FALSE,13,-0.0806647210370763,4.0608322298463255,14.611229458307973,FALSE,92.4480751724817,Growing
434051,Customer Service Rep.,Yes,2.37458226037978,-1.1441740898838286,5,Low quality - High demand,3.6135458727865952,16.69,16.32,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,12.498342101772845,FALSE,72.78923995901032,Declining
439061,"Office Clerks, General",Yes,2.2928987415784885,0.1573932599130916,3.2371923452095643,High quality - High demand,1.893857756285112,16.37,16.17,FALSE,36.4,0.0912021396842104,-4.832128284057555,5.541242556067069,FALSE,21.447311594982022,Declining
436010,Administrative Assistants,Yes,2.240022394224865,-0.5915505505497068,2.6920189431896397,Low quality - High demand,2.8591143775147168,19.16,18.778027888446214,FALSE,38.7,-0.00728757466662655,-9.127946756235616,7.794800572891801,FALSE,11.024553952177019,Declining
412010,Cashiers,No,2.123160205712047,-1.5251483021413432,3.2507795720937964,Low quality - High demand,5,11.38,10.84,FALSE,19.4,-0.0448497149207308,-7.216746513685882,3.4263660752106175,FALSE,31.909870375938805,Stable
311010,Nursing and Home Health Aides,Yes,2.0647646037603247,-1.2008476545442217,5,Low quality - High demand,3.642216919070482,12.840579254947762,10.975079030558483,FALSE,20,-0.0118315366362056,25.00154891472709,26.028565337881048,FALSE,88.4001725562619,Stable
291141,Registered Nurses,Yes,2.0053070169674427,1.1176830650491825,5,High quality - High demand,1.0870766125473157,37.01958300601847,36.97501934770592,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,26.11592271818787,FALSE,65.83106318516518,Growing
