Occupational code,Occupation,TWC Target Occupation,Share of local jobs (%),Quality Index (-5 to 5),Demand Index (-5 to 5),Quality and demand quadrant,Absorption Index (-5 to 5),National Median Wage ($),Local Median Wage ($),Local Median Wage imputed from National Median Wage,Share with at least an associate's degree,Mid-term mobility score,Projected national growth 2019-2029 (%),Projected state-level growth 2018-2028 (%),Local Projections imputed from National Projections,Local job growth 2004-2019 (%),Current demand (postings)
311010,Nursing and Home Health Aides,Yes,5.048596332798496,-1.081967071046063,5,Low quality - High demand,3.6420307855473086,12.840579254947762,12.729539295392954,FALSE,20,-0.0118315366362056,25.00154891472709,42.16133942161339,FALSE,70.1881304025567,Declining
353021,Food Service Workers,No,3.911418913913546,-1.238291602895902,5,Low quality - High demand,0.5484512694415364,10.93,9.26,FALSE,14.6,0.00206205401289417,9.21749974020575,19.75938753189938,FALSE,70.7575253115499,Stable
412031,Retail Salespersons,No,3.561529164056697,-0.28496763118292145,-0.7920493378019862,Low quality - Low demand,5,12.14,11.93,FALSE,36.4,0.0780936473860896,0.09689675395874703,0.1460920379839299,FALSE,-2.020820783174863,Declining
291141,Registered Nurses,Yes,2.791142998025478,1.0916964936683244,5,High quality - High demand,1.4837619759778575,37.01958300601847,33.53246376811594,FALSE,94.56420169863392,0.0335778915173406,6.3059341869750885,10.500247647350173,FALSE,30.776153314013456,Growing
533030,Delivery Truck Drivers,Yes,2.542369932200778,-1.3957805567367387,4.332275722318572,Low quality - High demand,2.9764173080773144,19.38,17.047529411764707,FALSE,12.6,-0.0820470910581057,4.700293136561204,17.078410311493016,FALSE,7.072424112358214,Growing
436010,Administrative Assistants,Yes,2.4053635057717204,-0.5012409956080035,0.768004393869593,Low quality - High demand,2.7847701778194835,19.16,19.16,TRUE,38.7,-0.00728757466662655,-9.127946756235616,0.6302521008403361,FALSE,6.935888637713659,Growing
439061,"Office Clerks, General",No,2.390413374965606,0.12241221936768942,0.7314570230070874,High quality - High demand,1.8183622521635965,16.37,15.3,FALSE,36.4,0.0912021396842104,-4.832128284057555,-0.33849129593810445,FALSE,8.162655689667323,Declining
412010,Cashiers,No,2.1631888762938907,-1.6596709878474463,-3.35439873321949,Low quality - Low demand,5,11.38,9.61,FALSE,19.4,-0.0448497149207308,-7.216746513685882,-10.519951632406288,FALSE,-7.30819132640698,Declining
252020,Primary School Teachers,Yes,1.8621206200294358,-0.11480945176309554,1.0009236449812153,Low quality - High demand,1.2545390318192238,28.6875,28.6875,TRUE,97.1,-0.0499001175447242,3.1046822236782607,9.163059163059163,FALSE,-0.4706607489716295,Stable
434051,Customer Service Rep.,No,1.686673421375668,-1.0716555449905432,3.931171486990848,Low quality - High demand,3.3544271953538027,16.69,16.85,FALSE,38.8,-0.0465859174934922,-1.4241598546775593,5.636208368915456,FALSE,47.617774555437734,Growing
