"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","8.095","1764.16","1044.706","59.218","383.059","21.713","336.395","19.068"
"Fast Food and Counter Workers","7.238","1577.51","1095.356","69.436","163.158","10.343","318.997","20.222"
"Cashiers","5.298","1154.58","905.077","78.39","82.012","7.103","167.49","14.507"
"Waiters and Waitresses","3.955","862.04","382.002","44.314","302.783","35.124","177.255","20.562"
"Customer Service Representatives","3.375","735.59","491.638","66.836","139.777","19.002","104.175","14.162"
"Home Health and Personal Care Aides","8.543","1861.85","200.318","10.759","314.567","16.895","1346.965","72.346"
"Stockers and Order Fillers","2.615","569.94","443.61","77.835","21.164","3.713","105.165","18.452"
"Office Clerks, General","1.802","392.62","230.187","58.628","84.408","21.499","78.024","19.873"
"Cooks, Restaurant","2.149","468.33","137.212","29.298","170.486","36.403","160.632","34.299"
"First-Line Supervisors of Retail Sales Workers","2.11","459.85","170.193","37.011","109.666","23.848","179.991","39.141"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.605","349.8","132.097","37.764","132.229","37.801","85.474","24.435"
"Miscellaneous Assemblers and Fabricators","1.789","389.88","202.554","51.953","35.645","9.143","151.681","38.904"
"Maids and Housekeeping Cleaners","1.369","298.42","106.742","35.769","106.101","35.554","85.577","28.677"
"Medical Assistants","1.724","375.72","128.053","34.082","81.965","21.816","165.701","44.102"
"Food Preparation Workers","1.033","225.15","182.585","81.095","0","0","42.565","18.905"
"First-Line Supervisors of Food Preparation and Serving Workers","1.598","348.25","97.109","27.885","69.772","20.035","181.369","52.08"
"Laborers and Freight, Stock, and Material Movers, Hand","0.961","209.5","127.718","60.963","37.678","17.985","44.104","21.052"
"Nursing Assistants","2.156","469.91","94.047","20.014","66.158","14.079","309.705","65.907"
"Registered Nurses","1.377","300.02","71.869","23.955","79.188","26.394","148.963","49.651"
"Bookkeeping, Accounting, and Auditing Clerks","0.764","166.46","148.734","89.351","1.51","0.907","16.216","9.742"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.816","177.78","123.29","69.35","18.328","10.309","36.162","20.341"
"Medical Secretaries and Administrative Assistants","0.75","163.43","132.023","80.782","3.416","2.09","27.991","17.127"
