"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Police and Sheriff's Patrol Officers","7.013","36735.53","11591.691","31.554","9111.755","24.804","16032.085","43.642"
"Correctional Officers and Jailers","5.62","29439.65","9501.6","32.275","5936.615","20.165","14001.435","47.56"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","3.12","16343.09","11054.409","67.64","1482.963","9.074","3805.718","23.286"
"Office Clerks, General","3.032","15882.86","9121.542","57.43","3310.263","20.842","3451.055","21.728"
"Project Management Specialists and Business Operations Specialists, All Other","2.229","11677.56","4809.872","41.189","2981.809","25.535","3885.879","33.276"
"Agricultural Equipment Operators","2.347","12294.17","5892.613","47.93","1167.54","9.497","5234.017","42.573"
"Firefighters","3.064","16052.34","1346.045","8.385","5104.845","31.801","9601.45","59.813"
"Court, Municipal, and License Clerks","1.644","8611.09","5687.265","66.046","578.975","6.724","2344.85","27.231"
"Detectives and Criminal Investigators","2.208","11566.81","2568.243","22.204","3442.133","29.759","5556.434","48.038"
"Customer Service Representatives","1.348","7060.51","4612.001","65.321","1244.128","17.621","1204.381","17.058"
"First-Line Supervisors of Office and Administrative Support Workers","1.801","9433.11","1456.949","15.445","3793.579","40.216","4182.582","44.339"
"Heavy and Tractor-Trailer Truck Drivers","1.428","7479.61","3681.089","49.215","1483.736","19.837","2314.785","30.948"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","1.699","8898.73","3797.415","42.674","1195.401","13.433","3905.913","43.893"
"Compliance Officers","1.594","8348.05","2442.907","29.263","2481.638","29.727","3423.505","41.01"
"Bookkeeping, Accounting, and Auditing Clerks","1.046","5477.17","4768.399","87.06","48.34","0.883","660.431","12.058"
"Executive Secretaries and Executive Administrative Assistants","1.2","6285.27","3921.739","62.396","670.993","10.676","1692.538","26.929"
"Eligibility Interviewers, Government Programs","1.225","6416.79","3888.95","60.606","359.662","5.605","2168.178","33.789"
"Maintenance and Repair Workers, General","1.697","8887.99","2605.791","29.318","1501.997","16.899","4780.202","53.783"
"Accountants and Auditors","1.024","5364.64","1981.017","36.927","2097.925","39.107","1285.698","23.966"
"Child, Family, and School Social Workers","1.432","7503.55","812.825","10.833","2887.558","38.483","3803.167","50.685"
"Information and Record Clerks, All Other","0.827","4333.22","3611.037","83.334","42.759","0.987","679.424","15.679"
"Medical Secretaries and Administrative Assistants","0.819","4291.67","3451.925","80.433","88.045","2.052","751.701","17.515"
"Registered Nurses","1.316","6894.41","1650.338","23.937","1815.059","26.327","3429.013","49.736"
"Graders and Sorters, Agricultural Products","0.782","4096.31","3451.912","84.269","0","0","644.398","15.731"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","1.039","5442.73","1946.581","35.765","1181.89","21.715","2314.259","42.52"
"Operating Engineers and Other Construction Equipment Operators","0.954","4997.76","1658.476","33.184","1380.69","27.626","1958.594","39.189"
"Public Safety Telecommunicators","0.838","4388.62","2459.278","56.038","484.679","11.044","1444.663","32.918"
"Logging Equipment Operators","0.856","4482.26","1613.449","35.996","1278.768","28.53","1590.043","35.474"
"General and Operations Managers","1.344","7041.67","536.859","7.624","2253.852","32.007","4250.958","60.369"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","0.732","3834.86","1354.258","35.314","1304.039","34.005","1176.563","30.681"
