"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","3.43","428338.92","297547.075","69.465","44355.193","10.355","86436.652","20.179"
"Retail Salespersons","3.287","410513.64","242628.963","59.104","89006.796","21.682","78877.881","19.214"
"Office Clerks, General","2.646","330408.44","189730.041","57.423","68930.237","20.862","71748.162","21.715"
"Cashiers","2.428","303175.24","236536.88","78.02","21486.951","7.087","45151.409","14.893"
"Customer Service Representatives","2.422","302455.95","200792.22","66.387","56330.668","18.624","45333.062","14.988"
"Heavy and Tractor-Trailer Truck Drivers","2.044","255204.591","127384.865","49.915","51428.357","20.152","76391.368","29.933"
"Waiters and Waitresses","1.79","223500.48","99137.658","44.357","78571.127","35.155","45791.695","20.488"
"Stockers and Order Fillers","1.553","193932.96","148800.633","76.728","7052.901","3.637","38079.427","19.635"
"Laborers and Freight, Stock, and Material Movers, Hand","1.558","194598.5","112949.579","58.042","32426.783","16.663","49222.139","25.294"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.37","171076.26","116529.76","68.116","15662.886","9.155","38883.614","22.729"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.348","168285.99","62050.33","36.872","61418.133","36.496","44817.527","26.632"
"Bookkeeping, Accounting, and Auditing Clerks","1.099","137254.72","120477.306","87.776","1221.886","0.89","15555.528","11.333"
"Registered Nurses","1.856","231717.48","55583.552","23.988","61457.797","26.523","114676.13","49.49"
"General and Operations Managers","1.854","231551.65","17722.175","7.654","76331.181","32.965","137498.293","59.381"
"Home Health and Personal Care Aides","2.609","325784","35076.157","10.767","55076.599","16.906","235631.244","72.327"
"Accountants and Auditors","0.914","114145.53","42763.416","37.464","46540.329","40.773","24841.785","21.763"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.961","120062.2","41591.61","34.642","39716.18","33.08","38754.41","32.279"
"Project Management Specialists and Business Operations Specialists, All Other","0.94","117380.54","49441.145","42.12","31320.858","26.683","36618.538","31.196"
"Cooks, Restaurant","0.954","119126.71","34926.81","29.319","43409.665","36.44","40790.235","34.241"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.876","109351.76","37507.236","34.3","35405.083","32.377","36439.442","33.323"
"Medical Secretaries and Administrative Assistants","0.689","86068.41","69349.442","80.575","1779.306","2.067","14939.662","17.358"
"Elementary School Teachers, Except Special Education","1.134","141554.07","3332.777","2.354","66861.9","47.234","71359.393","50.411"
"First-Line Supervisors of Office and Administrative Support Workers","0.951","118717.22","18529.989","15.609","49135.622","41.389","51051.609","43.003"
"First-Line Supervisors of Retail Sales Workers","0.881","109961.82","40506.662","36.837","26082.549","23.72","43372.609","39.443"
"Construction Laborers","0.961","119981.38","34238.362","28.536","30195.082","25.166","55547.937","46.297"
"Secondary School Teachers, Except Special and Career/Technical Education","0.921","115071.56","5914.003","5.139","56137.366","48.785","53020.191","46.076"
"Receptionists and Information Clerks","0.607","75752.37","55686.828","73.512","5740.087","7.577","14325.455","18.911"
"Light Truck Drivers","0.638","79671.81","42975.393","53.941","18412.101","23.11","18284.316","22.95"
"Shipping, Receiving, and Inventory Clerks","0.58","72374.9","53663.895","74.147","5050.677","6.978","13660.328","18.874"
"Industrial Truck and Tractor Operators","0.65","81216.38","41182.363","50.707","15958.513","19.649","24075.504","29.644"
"Maintenance and Repair Workers, General","0.964","120410.5","35225.126","29.254","20898.808","17.356","64286.567","53.39"
"Maids and Housekeeping Cleaners","0.625","78069.48","27812.253","35.625","27650.449","35.418","22606.778","28.957"
"Software Developers and Software Quality Assurance Analysts and Testers","0.89","111148.6","3084.14","2.775","50102.024","45.077","57962.437","52.149"
"Substitute Teachers, Short-Term","0.697","86978.32","12619.359","14.509","39339.349","45.229","35019.611","40.262"
"Teaching Assistants, Except Postsecondary","0.754","94201.32","21063.548","22.36","30820.011","32.717","42317.761","44.923"
"Miscellaneous Assemblers and Fabricators","0.672","83938.45","43490.869","51.813","7667.381","9.135","32780.2","39.053"
"Food Preparation Workers","0.48","59894.07","48664.497","81.251","0","0","11229.573","18.749"
"First-Line Supervisors of Food Preparation and Serving Workers","0.758","94706.94","26427.501","27.905","19018.878","20.082","49260.561","52.014"
"Landscaping and Groundskeeping Workers","0.504","62925.75","17100.269","27.175","27748.892","44.098","18076.588","28.727"
"Security Guards","0.729","90979.98","20559.088","22.597","23002.534","25.283","47418.358","52.12"
"Billing and Posting Clerks","0.373","46548.56","38253.587","82.18","2535.444","5.447","5759.529","12.373"
"Medical Assistants","0.562","70203.31","23979.888","34.158","15356.492","21.874","30866.93","43.968"
"Tellers","0.345","43035.12","36138.263","83.974","3181.728","7.393","3715.129","8.633"
"Welders, Cutters, Solderers, and Brazers","0.428","53391.48","35596.839","66.671","3610.49","6.762","14184.151","26.566"
